"","year","division","arrest_count"
"844",2021,"D33",1
"845",2014,"D42",3
"846",2015,"D31",3
"847",2017,"D32",1
"848",2022,"D42",1
"849",2022,"D55",1
"850",2014,"D22",3
"851",2015,"D41",1
"852",2016,"D31",2
"853",2014,"D31",2
"854",2018,"D31",1
"855",2015,"D53",1
"856",2016,"D14",3
"857",2015,"D52",5
"858",2022,"D42",4
"859",2020,"D14",16
"860",2021,"D51",1
"861",2015,"D41",1
"862",2022,"D23",1
"863",2015,"D32",1
"864",2016,"D52",3
"865",2021,"D22",1
"866",2014,"D41",1
"867",2015,"D41",1
"868",2020,"D13",1
"869",2016,"D14",5
"870",2022,"D43",1
"871",2020,"D42",2
"872",2014,"D23",1
"873",2018,"D12",1
"874",2014,"D22",1
"875",2015,"D55",2
"876",2020,"D12",1
"877",2021,"D13",1
"878",2019,"D32",32
"879",2018,"D23",7
"880",2014,"D12",1
"881",2017,"NSA",3
"882",2022,"D41",8
"883",2016,"D32",1
"884",2014,"D53",2
"885",2021,"D51",4
"886",2016,"D52",6
"887",2019,"D43",13
"888",2019,"D11",2
"889",2014,"D11",1
"890",2022,"D31",5
"891",2016,"D52",1
"892",2016,"D33",1
"893",2018,"D32",4
"894",2021,"D42",5
"895",2022,"D52",1
"896",2016,"D43",1
"897",2015,"D43",1
"898",2021,"D53",2
"899",2014,"D53",4
"900",2022,"D32",2
"901",2016,"D13",1
"902",2020,"D53",1
"903",2022,"D53",1
"904",2018,"D31",3
"905",2019,"D53",4
"906",2014,"D51",4
"907",2022,"D33",3
"908",2015,"D41",27
"909",2015,"D22",6
"910",2016,"D55",1
"911",2021,"D43",1
"912",2014,"D43",19
"913",2014,"D33",1
"914",2016,"D11",1
"915",2014,"D42",1
"916",2015,"D55",2
"917",2017,"D55",3
"918",2021,"D14",1
"919",2019,"D22",1
"920",2022,"D41",1
"921",2017,"D52",1
"922",2015,"D31",1
"923",2020,"D55",1
"924",2017,"D11",1
"925",2019,"NSA",6
"926",2016,"D55",3
"927",2017,"D13",3
"928",2019,"D41",1
"929",2020,"D12",2
"930",2021,"D52",2
"931",2020,"D52",3
"932",2014,"D53",1
"933",2015,"D43",3
"934",2016,"D53",1
"935",2014,"D22",2
"936",2015,"D12",1
"937",2019,"D32",3
"938",2017,"D22",1
"939",2020,"D51",44
"940",2019,"D41",1
"941",2014,"D13",2
"942",2021,"D55",1
"943",2021,"D22",2
"944",2020,"D12",1
"945",2021,"D12",10
"946",2016,"D31",1
"947",2014,"D41",3
"948",2020,"D11",1
"949",2022,"D42",1
"950",2014,"D55",3
"951",2015,"D14",1
"952",2015,"D14",4
"953",2015,"D12",1
"954",2014,"D41",4
"955",2018,"D14",5
"956",2019,"D43",1
"957",2014,"D43",2
"958",2014,"D43",4
"959",2015,"D22",3
"960",2017,"D23",1
"961",2021,"D51",1
"962",2015,"D53",3
"963",2020,"NSA",7
"964",2020,"D33",2
"965",2016,"D31",1
"966",2015,"D33",2
"967",2019,"D13",4
"968",2022,"D55",5
"969",2020,"D42",1
"970",2017,"D55",11
"971",2016,"D13",4
"972",2016,"D22",1
"973",2020,"D11",2
"974",2022,"D55",1
"975",2020,"D32",1
"976",2017,"D42",2
"977",2019,"D42",1
"978",2018,"D31",3
"979",2014,"D12",1
"980",2018,"D52",2
"981",2018,"D32",4
"982",2015,"D14",2
"983",2016,"D11",1
"984",2015,"D22",4
